term.id,ecoinventMapping
n2OToAirExcretaDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirExcretaIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirFuelCombustionDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirFuelCombustionIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirInorganicFertiliserDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirInorganicFertiliserIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirInputsProduction,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirNaturalVegetationBurningDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirNaturalVegetationBurningIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirOrganicFertiliserDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirOrganicFertiliserIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirOrganicSoilBurningDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirOrganicSoilBurningIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirOrganicSoilCultivationDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirOrganicSoilCultivationIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirSoilFlux,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirWasteTreatmentDirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
n2OToAirWasteTreatmentIndirect,20185046-64bb-4c09-a8e7-e8a9e144ca98
nh3ToAirAquacultureSystems,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirCropResidueBurning,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirCropResidueDecomposition,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirExcreta,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirFuelCombustion,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirInorganicFertiliser,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirInputsProduction,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirNaturalVegetationBurning,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirOrganicFertiliser,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirOrganicSoilBurning,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirOrganicSoilCultivation,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirSoilFlux,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh3ToAirWasteTreatment,87883a4e-1e3e-4c9d-90c0-f1bea36f8014
nh4ToGroundwaterCropResidueDecomposition,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToGroundwaterExcreta,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToGroundwaterInorganicFertiliser,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToGroundwaterInputsProduction,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToGroundwaterOrganicFertiliser,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToGroundwaterSoilFlux,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToGroundwaterWasteTreatment,736f52e8-9703-4076-8909-7ae80a7f8005
nh4ToSurfaceWaterAquacultureSystems,13331e67-6006-48c4-bdb4-340c12010036
nh4ToSurfaceWaterInputsProduction,13331e67-6006-48c4-bdb4-340c12010036
nmvocToAirAnimalHousing,d3260d0e-8203-4cbb-a45a-6a13131a5108
nmvocToAirExcreta,d3260d0e-8203-4cbb-a45a-6a13131a5108
nmvocToAirFuelCombustion,d3260d0e-8203-4cbb-a45a-6a13131a5108
nmvocToAirInputsProduction,d3260d0e-8203-4cbb-a45a-6a13131a5108
nmvocToAirSilageFeeding,d3260d0e-8203-4cbb-a45a-6a13131a5108
nmvocToAirSilageStorage,d3260d0e-8203-4cbb-a45a-6a13131a5108
nmvocToAirWasteTreatment,d3260d0e-8203-4cbb-a45a-6a13131a5108
noToAirAquacultureSystems,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirCropResidueBurning,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirCropResidueDecomposition,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirExcreta,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirInorganicFertiliser,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirInputsProduction,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirOrganicFertiliser,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirSoilFlux,17f7e776-7934-54af-8c3c-ed0247cb697b
noToAirWasteTreatment,17f7e776-7934-54af-8c3c-ed0247cb697b
no3ToGroundwaterCropResidueDecomposition,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToGroundwaterExcreta,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToGroundwaterInorganicFertiliser,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToGroundwaterInputsProduction,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToGroundwaterOrganicFertiliser,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToGroundwaterSoilFlux,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToGroundwaterWasteTreatment,b9291c72-4b1d-4275-8068-4c707dc3ce33
no3ToSurfaceWaterAquacultureSystems,7ce56135-2ca5-4fba-ad52-d62a34bfeb35
no3ToSurfaceWaterExcreta,7ce56135-2ca5-4fba-ad52-d62a34bfeb35
no3ToSurfaceWaterIndustrialProcesses,7ce56135-2ca5-4fba-ad52-d62a34bfeb35
no3ToSurfaceWaterInputsProduction,7ce56135-2ca5-4fba-ad52-d62a34bfeb35
noxToAirAquacultureSystems,c1b91234-6f24-417b-8309-46111d09c457
noxToAirCropResidueBurning,c1b91234-6f24-417b-8309-46111d09c457
noxToAirCropResidueDecomposition,c1b91234-6f24-417b-8309-46111d09c457
noxToAirExcreta,c1b91234-6f24-417b-8309-46111d09c457
noxToAirFuelCombustion,c1b91234-6f24-417b-8309-46111d09c457
noxToAirInorganicFertiliser,c1b91234-6f24-417b-8309-46111d09c457
noxToAirInputsProduction,c1b91234-6f24-417b-8309-46111d09c457
